39224,11,Squirrel Creek,1576,base,0.667,18.8873,23.62,8.84,102.5,8.05,858,0.11,,0.7,0.0476,0.371875,0.128,4,30,,,0.179504899,1.1423039,0.606848949,0.208878428,6.52745088,,
39224,12,Robbin's Ditch,1403,base,0.311,8.8065,16.7,8.57,81.7,7.81,1480,0.2,,1,0.05,0.381679389,0.131,4,390,,,0.15217632,0.7608816,0.290412824,0.09967549,3.0435264,,
39224,13,Damon Run,7014,base,5.271,149.2581,18.18,10.01,109.2,8.04,799,0.17,,0.39,0.031,0.258333333,0.12,4.8,210,,,2.19230297,5.02940094,3.33144079,1.54750798,61.9003192,,
39224,14,Salt Creek (Lenburg),44335,base,,,16.49,7.73,80.9,8.09,885,0.081,,2.1,0.065,0.386904762,0.168,21,240,,,0,0,0,0,0,,
39224,15,Salt Creek (ST 130) Fixed Station,,base,,,,,,,,,,,,,,,,,,0,0,0,0,0,,
39224,16,Salt Creek (US 20) Fixed Station,,base,,,,,,,,,,,,,,,,,,0,0,0,0,0,,
39231,2,Clark Ditch,2716,macro,,,,,,,,,,,,,,,,,,,,,,,,3.8
39231,5,Salt Creek Headwaters,4916,macro,,,,,,,,,,,,,,,,,,,,,,,,4.7
39231,7,Beauty Creek,2092,macro,,,,,,,,,,,,,,,,,,,,,,,,2.9
39231,8,Pepper Creek,1937,macro,,,,,,,,,,,,,,,,,,,,,,,,4.2
39231,9,Unnamed Tributary (Mallards Landing),1899,macro,,,,,,,,,,,,,,,,,,,,,,,,2.7
39231,10,Butternut Springs Outlet,1176,macro,,,,,,,,,,,,,,,,,,,,,,,,3.6
39231,13,Damon Run,7014,macro,,,,,,,,,,,,,,,,,,,,,,,,4
39231,14,Salt Creek (Lenburg),44335,macro,,,,,,,,,,,,,,,,,,,,,,,,4.2
39238,1,Lake Louise Outlet,1828,base,2.152,60.9378,13.26,6.81,66.7,7.63,854,0.36,,2.6,0.07,0.4375,0.16,9.6,220,,,1.89540933,13.6890674,2.30344884,0.842404147,50.5442488,,
39238,2,Clark Ditch,2716,base,2.62,74.1901,15.83,7.13,73.8,7.99,757,0.22,,0.27,0.078,0.4875,0.16,32,2300,,,1.41020542,1.73070665,3.12488701,1.02560394,205.120788,,
39238,3,Unnamed Tributary (Weblos),980,base,0.508,14.3849,15.19,5.07,51.9,7.58,955,0.12,,0.009,0.088,0.517647059,0.17,12,4700,,,0.149142643,0.011185698,0.643360422,0.211285411,14.9142643,,
39238,4,Block Ditch,469,base,0.464,13.139,12.66,4.64,44.8,7.47,911,0.35,,0.086,0.04,0.5,0.08,2.4,560,,,0.39732336,0.097628026,0.5676048,0.090816768,2.72450304,,
39238,5,Salt Creek Headwaters,4916,base,5.85,165.6535,13.93,6.82,67.8,7.83,677,0.12,,0.32,0.051,0.51,0.1,18,2800,,,1.71749549,4.57998797,7.29935582,1.43124624,257.624323,,
39238,6,Sager's Lake Outlet,3556,base,4.66,131.9565,17.03,7.34,77.9,7.89,896,0.11,,0.11,0.04,0.5,0.08,18,890,,,1.25411458,1.25411458,5.7005208,0.912083328,205.218749,,
39238,7,Beauty Creek,2092,base,1.587,44.9388,13.24,7.67,75.1,7.55,836,0.056,,0.23,0.04,0.571428571,0.07,5.4,1000,,,0.21743189,0.893023834,2.21869275,0.271789862,20.9666465,,
39238,8,Pepper Creek,1937,base,2.781,78.7491,14.38,8.05,80.8,8.19,821,0.21,,0.13,0.04,0.481927711,0.083,16,630,,,1.42882367,0.884509891,3.27899867,0.564725546,108.862756,,
39238,9,Unnamed Tributary (Mallards Landing),1899,base,0.844,23.8994,15.27,7.27,74.4,8.16,776,0.12,,0.29,0.069,0.575,0.12,12,1800,,,0.247788979,0.598823366,1.18732219,0.247788979,24.7788979,,
39238,10,Butternut Springs Outlet,1176,base,10.037,284.2161,16.24,7.9,82.5,8.33,640,0,,0.089,0.04,0.5,0.08,13,360,,,0,2.18550812,12.2781355,1.96450168,319.231524,,
39238,11,Squirrel Creek,1576,base,1.004,23.4301,22.48,9.63,114.1,8.49,894,0.057,,0.17,0.039,0.185714286,0.21,8,120,,,0.115388556,0.344141309,0.37595269,0.425115734,16.1948851,,
39238,12,Robbin's Ditch,1403,base,0.445,12.6009,15.69,7.67,79.3,8.19,1082,0.086,,0.9,0.1,0.833333333,0.12,2,1300,,,0.093629727,0.979845984,0.9072648,0.130646131,2.17743552,,
39238,12,Robbin's Ditch (Duplicate),1403,base,0.445,12.6009,15.69,7.67,79.3,8.19,1082,0.1,,0.92,0.095,0.633333333,0.15,4.8,3200,,,0.108871776,1.00162034,0.689521248,0.163307664,5.22584525,,
39238,13,Damon Run,7014,base,5.628,159.3672,16.58,7.68,80.8,8,778,0.13,,0.43,0.074,0.74,0.1,20,500,,,1.79001239,5.92081021,10.1893013,1.37693261,275.386522,,
