53,Salt Creek (Lenburg),storm,39218,14,44335.0,3.593,101.74238,16.8,7.37,76.1,7.91,758.0,2.8,1500.0,0.0
54,Lake Louise Outlet,base,39224,1,1828.0,1.732,49.0447,12.91,7.76,74.6,7.69,846.0,1.2,40.0,5.0849545
55,Clark Ditch,base,39224,2,2716.0,1.883,53.3206,15.81,7.93,81.5,8.0,724.0,0.18,350.0,0.829241971
56,Unnamed Tributary (Weblos),base,39224,3,980.0,0.397,11.2417,13.91,6.5,64.1,7.61,929.0,0.0,760.0,0.0
57,Block Ditch,base,39224,4,469.0,0.693,19.6235,12.58,4.38,42.1,7.47,931.0,0.11,20.0,0.186501744
58,Salt Creek Headwaters,base,39224,5,4916.0,4.6610000000000005,131.9848,14.11,6.86,67.7,7.79,699.0,0.32,260.0,3.64911575
59,Sager's Lake Outlet,base,39224,6,3556.0,2.885,81.6941,15.91,8.98,89.9,7.9,913.0,0.046,100.0,0.324685031
60,Beauty Creek,base,39224,7,2092.0,1.07,30.299,12.53,9.09,86.9,7.81,913.0,0.15,20.0,0.39267504
61,Beauty Creek (Duplicate),base,39224,7,2092.0,1.07,30.299,12.53,9.09,86.9,7.81,913.0,0.14,10.0,0.366496704
62,Pepper Creek,base,39224,8,1937.0,2.1919999999999997,62.0705,14.11,8.95,89.2,8.1,823.0,0.081,80.0,0.43439418700000004
63,Unnamed Tributary (Mallards Landing),base,39224,9,1899.0,0.8420000000000001,23.8427,18.09,8.67,93.7,8.17,788.0,0.2,260.0,0.412001856
64,Butternut Springs Outlet,base,39224,10,1176.0,0.907,25.6833,16.37,8.73,91.2,8.27,651.0,0.049,120.0,0.10873281900000001
65,Squirrel Creek,base,39224,11,1576.0,0.667,18.8873,23.62,8.84,102.5,8.05,858.0,0.7,30.0,1.1423039
66,Robbin's Ditch,base,39224,12,1403.0,0.311,8.8065,16.7,8.57,81.7,7.81,1480.0,1.0,390.0,0.7608815999999999
67,Damon Run,base,39224,13,7014.0,5.271,149.2581,18.18,10.01,109.2,8.04,799.0,0.39,210.0,5.02940094
